# Results:  	200 matching objects
# Constraints:  	asteroids and PHAs and orbital class (IEO or IMB or TNO or ATE or MBA or 
#			APO or OMB or AMO or TJN or AST or MCA or CEN) and 
#			diameter >= 0.2 (km) 
# SPK-ID|object fullname |prim. desig.| IAU name|Diameter
#
2398188|398188 Agni (2010 LE15)|398188|Agni|0.462
3666473|(2014 ER49)|2014 ER49||0.461
3548083|(2010 TH19)|2010 TH19||0.461
2163132|163132 (2002 CU11)|163132||0.460
2419472|419472 (2010 DW1)|419472||0.459
3426408|(2008 QS11)|2008 QS11||0.453
2389694|389694 (2011 QD48)|389694||0.451
2085990|85990 (1999 JV6)|85990||0.451
2277570|277570 (2005 YP180)|277570||0.439
2267337|267337 (2001 VK5)|267337||0.439
2221980|221980 (1996 EO)|221980||0.432
2207945|207945 (1991 JW)|207945||0.423
2004034|4034 Vishnu (1986 PA)|4034|Vishnu|0.42
2417634|417634 (2006 XG1)|417634||0.418
2152754|152754 (1999 GS6)|152754||0.414
2391211|391211 (2006 HZ51)|391211||0.412
2297418|297418 (2000 SP43)|297418||0.407
3655751|(2013 YP139)|2013 YP139||0.402
3514551|(2010 FC81)|2010 FC81||0.402
2162000|162000 (1990 OS)|162000||0.4
3001835|(1989 VB)|1989 VB||0.4
2308635|308635 (2005 YU55)|308635||0.4
2301844|301844 (1990 UA)|301844||0.4
2360191|360191 (1988 TA)|360191||0.4
2341843|341843 (2008 EV5)|341843||0.40
2250680|250680 (2005 QC5)|250680||0.398
2367248|367248 (2007 MK13)|367248||0.386
2163818|163818 (2003 RX7)|163818||0.386
3507718|(2010 CO1)|2010 CO1||0.380
3550233|(2010 VZ)|2010 VZ||0.380
3666411|(2014 EQ49)|2014 EQ49||0.379
2414286|414286 (2008 OC6)|414286||0.369
2386454|386454 (2008 XM)|386454||0.367
2387746|387746 (2003 MH4)|387746||0.366
3532363|(2010 MF1)|2010 MF1||0.363
2265196|265196 (2004 BW58)|265196||0.361
2419624|419624 (2010 SO16)|419624||0.357
3508127|(2010 CN44)|2010 CN44||0.340
2162567|162567 (2000 RW37)|162567||0.335
2004660|4660 Nereus (1982 DB)|4660|Nereus|0.33
2025143|25143 Itokawa (1998 SF36)|25143|Itokawa|0.33
3669253|(2014 HQ124)|2014 HQ124||0.325
2099942|99942 Apophis (2004 MN4)|99942|Apophis|0.325
2477519|477519 (2010 DJ56)|477519||0.321
2297300|297300 (1998 SC15)|297300||0.320
3025766|(2000 AA6)|2000 AA6||0.316
3511311|(2010 DG77)|2010 DG77||0.315
2468727|468727 (2010 JE87)|468727||0.308
3001825|(1989 UP)|1989 UP||0.3
2002340|2340 Hathor (1976 UA)|2340|Hathor|0.3
