# JPL Small-Body Database Search Engine
# Results:  30 matching objects
#
# Constraints:  	asteroids and orbital class (IEO or IMB or ATE or MBA or PAA or APO or 
#		OMB or HYA or AMO or TJN or AST or MCA or CEN) and diameter >= 200 (km) 
#
# Description
# -------------
# object fullname| prim. desig.| IAU name| prefix| NEO (Y/N)| PHA (Y/N)| H (absolute magnitude)| G (magnitude slope parameter (default is 0.15))|
# M1  (comet total magnitude parameter)| M2 (comet nuclear magnitude parameter)| K1 (comet total magnitude slope parameter)|
# K2 (comet nuclear magnitude slope parameter)| PC (comet nuclear magnitude law - phase coefficient)| diameter (km)|	
# extent (object bi/tri-axial ellipsoid dimensions in km)| albedo (geometric albedo)| rot_per (rotation period in hours)|
# GM (mass expressed as product mass and grav. const. G in km^3/s^2)| B-V (color index B-V in mag)| U-B (color index U-B i mag)|
# I-R (color index I-R in mag)| spec. type (spectral taxonomic type in SMASSII)| spec. type  (spectral taxonomic type in Tholen)|
# H-sigma (1-sigma uncertainty in abs. mag. param. H in mag)| diameter-sigma (1-sigma uncertainty in object diameter in km)| 
# orbit ID| epoch (epoch of osculation in JED)| epoch (epoch of osculation in MJD)| epoch (epoch of osculation in ET)|
# equinox (equinox of reference frame)| e (eccentricity)| a (semi-major axis in AU)| q (perihelion distance in AU)|
# i (inclinaison in deg)| node (longitude of the ascending node in deg)| peri (argument of perihelion in deg)|
# M (mean anomaly in deg)| Q (aphelion distance in AU)| n (Mean motion in deg/day)|tp (time of perihelion passage in JED)|
# tp (time of perihelion passage in ET)| period (orbital period in days)| period (orbital period in years)|
# Earth MOID (Earth Minimum Orbit Intersection Distance in AU)| Earth MOID (Earth Minimum Orbit Intersection Distance in light days)|
# Jupiter MOID (Jupiter Minimum Orbit Intersection Distance in Au)| T-Jupiter (Jupiter Tisserand Invariant)|
# e-sigma (eccentricity (1-sigma uncertainty))| a-sigma (semi-major axis (1-sigma uncertainty) in AU)|
# q-sigma (perihelion distance (1-sigma uncertainty) in AU)| i-sigma (inclination (1-sigma uncertainty) in deg)|
# node-sigma (long. of the asc. node (1-sigma uncertainty) in deg)| peri-sigma (argument of perihelion (1-sigma uncertainty) in deg)|
# M-sigma (mean anomaly (1-sigma uncertainty) in deg)|Q (1-sigma) (aphelion distance (1-sigma uncertainty) in AU)|
# n (1-sigma) (mean motion (1-sigma uncertainty in deg/day)| tp-sigma (time of peri. passage (1-sigma uncertainty) in days)|
# period-sigma (orbital period (1-sigma uncertainty) in days)| orbit class (orbit classification)|
# producer (name of person (or institution) who computed the orbit|
# data-arc span (number of days spanned by the data-arc in days)|
# date of first obs. (date of first observation used in the orbit fit in UT)|
# date of last obs. (date of last observation used in the orbit fit in UT)|
# obs. used (total) (number of observations (all types) used in fit)|
# obs. used (del.) (number of delay-radar observations used in fit)|
# obs. used (dop.) (number of Doppler-radar observations used in fit)|
# condition code (orbit condition code (MPC 'U' parameter)|
# norm. RMS of fit (normalized RMS of orbit fit in arcsec)| two-body model (2-body dynamics used flag T/F)|
# A1 (non-grav. radial parameter)| A2 (non-grav. transverse parameter)| A3 (non-grav. normal parameter)|
# DT (non-grav. peri.-maximum offset in days)
# 	  
451 Patientia (1899 EY)|451|Patientia||N|N|6.65|0.19||||||253.900||0.085|9.727||.666|.310|||CU||2.780|JPL 104|2458000.5|58000|2017-Sep-04.0|J2000|.07539228761552995|3.061624344643847|2.83080148148175|15.23725604028963|89.24050567493691|336.9524844352762|352.9818219810594|3.292447207805944|.1839823746973719|2458038.645925828409|2017-Oct-12.1459258|1956.709171691882|5.35717774590522|1.85181|720.6688977|1.97238|3.176|3.5701E-8|8.5202E-9|1.0976E-7|3.9715E-6|1.5652E-5|3.1083E-5|2.7691E-5|9.1625E-9|7.68E-10|.00015056|8.168E-6|MBA|Otto Matic|42776|1899-12-07|2017-01-18|2458|||0|.46773||||| 
16 Psyche|16|Psyche||N|N|5.90|0.20||||||253.16||0.1203|4.196|4.49|.729|.299||X|M||4.0|JPL 86|2458000.5|58000|2017-Sep-04.0|J2000|.13485846347857|2.925706179637134|2.531149939661513|3.097533805869739|150.2630047356972|227.5462762010199|171.4975486018367|3.320262419612754|.1969509184300712|2457129.737121771899|2015-Apr-17.2371218|1827.866571375348|5.00442593121245|1.5337|596.870029|2.13674|3.262|3.0439E-8|5.8565E-9|8.8001E-8|3.9207E-6|6.7967E-5|6.9716E-5|1.6016E-5|6.6463E-9|5.9137E-10|8.0312E-5|5.4884E-6|MBA|Otto Matic|60261|1852-04-03|2017-03-30|2931|||0|.52931||||| 
87 Sylvia|87|Sylvia||N|N|6.94|||||||253.051||0.046|5.184||.710|.251||X|P||2.953|JPL 76|2458000.5|58000|2017-Sep-04.0|J2000|.09256575203954613|3.48123371166954|3.158990695123428|10.87660957881533|73.05054610157953|263.529065980855|1.865051273383616|3.803476728215652|.1517414756436414|2457988.209021113228|2017-Aug-22.7090211|2372.456169105967|6.49543099002318|2.17455|846.2696235|1.5684|3.094|3.1751E-8|1.6167E-8|1.1363E-7|4.0122E-6|1.9696E-5|3.1724E-5|2.6953E-5|1.7663E-8|1.057E-9|.00017759|1.6526E-5|OMB|Otto Matic|44771|1894-11-02|2017-06-01|2848|||0|.42118||||| 
3 Juno|3|Juno||N|N|5.33|0.32||||||246.596||0.214|7.210||.824|.433||Sk|S||10.594|JPL 105|2458000.5|58000|2017-Sep-04.0|J2000|.256853452328373|2.668531209360437|1.9831097555902|12.98996127586185|169.8582922221972|248.2064931516843|259.2348903006959|3.353952663130673|.2260974396170018|2458446.171166688112|2018-Nov-23.6711667|1592.233864345491|4.35929873879669|1.03493|402.7637081|2.18799|3.299|3.291E-8|3.7579E-9|8.779E-8|3.606E-6|1.7946E-5|1.9161E-5|8.4935E-6|4.7231E-9|4.7759E-10|3.8031E-5|3.3633E-6|MBA|Otto Matic|71957|1820-05-02|2017-05-06|6962|||0|.31332||||| 
65 Cybele|65|Cybele||N|N|6.62|0.01||||||237.26||0.0706|6.0814||.690|.271||Xc|P||4.2|JPL 69|2458000.5|58000|2017-Sep-04.0|J2000|.1114056670207255|3.42828500191231|3.04635462453712|3.562744718876534|155.6292653194391|102.3723056856566|168.0605236701177|3.8102153792875|.1552704085714371|2456918.126834267033|2014-Sep-17.6268343|2318.535793859076|6.34780504821102|2.03447|791.7546899|1.25463|3.128|3.5658E-8|1.2068E-8|1.2208E-7|4.1769E-6|6.0116E-5|6.2661E-5|1.8518E-5|1.3412E-8|8.1985E-10|.0001169|1.2242E-5|OMB|Otto Matic|56971|1861-03-12|2017-03-05|2605|||0|.49906||||| 
88 Thisbe|88|Thisbe||N|N|7.04|0.14||||||232||0.0671|6.042||.681|.305||B|CF|||JPL 138|2458000.5|58000|2017-Sep-04.0|J2000|.1621196159280189|2.770886717001255|2.321671626660962|5.21049799008758|276.4950199039667|35.98237872053303|281.0443336871818|3.220101807341547|.2136859253149398|2458369.993995434888|2018-Sep-08.4939954|1684.715544411341|4.61249977936028|1.30946|509.6025482|2.04455|3.312|2.6645E-8|4.896E-9|7.4204E-8|3.1704E-6|2.4453E-5|2.6053E-5|9.3135E-6|5.6898E-9|5.6636E-10|4.4022E-5|4.4652E-6|MBA|Otto Matic|55068|1866-06-21|2017-03-29|2751|||0|.51419||||| 
15 Eunomia|15|Eunomia||N|N|5.28|0.23||||||231.689||0.248|6.083||.839|.451||S|S||2.234|JPL 72|2458000.5|58000|2017-Sep-04.0|J2000|.1866984345652203|2.644948289299894|2.151140584181646|11.73274409393278|293.1409443529098|97.75732193758807|146.6503515099201|3.138755994418142|.2291280691709832|2457360.463394967185|2015-Dec-03.963395|1571.173716526873|4.30163919651437|1.19419|464.7429223|2.42163|3.339|2.7213E-8|3.3403E-9|7.147E-8|2.5542E-6|1.4114E-5|1.5752E-5|7.4475E-6|3.9639E-9|4.3404E-10|3.1812E-5|2.9763E-6|MBA|Otto Matic|60503|1851-09-02|2017-04-27|2424|||0|.54993||||| 
95626 (2002 GZ32)|95626|GZ32||N|N|7.1|||||||230.500||0.053|5.80||||||||87.500|JPL 23|2458000.5|58000|2017-Sep-04.0|J2000|.2241610812290184|23.21820071706777|18.01358374013748|15.0171789787042|107.2828089279265|154.8717582980322|354.0701042388082|28.42281769399805|.008809702282446326|2458673.609666033477|2019-Jul-09.109666|40864.0369967228|111.879635856873|17.0048|6617.758016|12.7627|4.201|6.1645E-6|.00026528|6.5816E-5|1.4994E-5|7.6132E-5|.0012656|.00085485|.00032475|1.5099E-7|.085732|.70035|CEN|Otto Matic|7688|1995-03-29|2016-04-15|353|||2|.39057||||| 
624 Hektor (1907 XM)|624|Hektor||N|N|7.3|||||||225||0.025|6.924||.776|.249|||D|||JPL 85|2458000.5|58000|2017-Sep-04.0|J2000|.02403734581704913|5.25607943190637|5.129737232959758|18.16703654445912|342.7874180729323|185.0177780688113|119.9327787009174|5.382421630852982|.08179206899578746|2456534.186943325834|2013-Aug-29.6869433|4401.404737891409|12.050389426123|4.13896|1610.7590632|.276038|2.899|5.7286E-8|7.2557E-8|3.0479E-7|6.4284E-6|1.8188E-5|.00013173|.00012818|7.4301E-8|1.6936E-9|.0015688|9.1138E-5|TJN|Otto Matic|40205|1907-02-11|2017-03-10|1576|||0|.48481||||| 
13 Egeria|13|Egeria||N|N|6.74|||||||222.792||0.070|7.045||.745|.452||Ch|G||7.870|JPL 83|2458000.5|58000|2017-Sep-04.0|J2000|.08377548386806408|2.57686750052737|2.3609891788068|16.54021395281691|43.23687942514976|80.55480179025493|44.59871122222897|2.792745822247939|.2382681218867844|2457813.321325534179|2017-Feb-28.8213255|1510.902915376392|4.13662673614344|1.44133|560.9223961|2.35877|3.364|3.4098E-8|4.2151E-9|8.7568E-8|4.1672E-6|1.3362E-5|2.8374E-5|2.4576E-5|4.5682E-9|5.8462E-10|.00010313|3.7072E-6|MBA|Otto Matic|60760|1850-11-21|2017-03-30|2193|||0|.56782||||| 
