1620 Geographos (1951 RA) |1620 |Geographos |Y|Y |2.56 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.3354011714105012 |1.2452602321176 |.8275984915544442 |13.33743942765777 |337.2037428098071 |276.8982440060318 |246.0030792311241 |.7092737637618327 |2458161.223442192844 |2018-Feb-11.7234422 |507.5614218276436 |.0300659 |1.5567E-8 |1.973E-8 |3.225E-6 |3.2664E-6 |5.0487E-6 |8.5291E-6
90075 (2002 VU94) |90075 ||Y|Y |2.233 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.5761281605146248 |2.133797466739532 |.9044566573161191 |8.915526596784517 |226.7782512258054 |30.61714583689004 |26.5120966883165 |.3162090395801016 |2457916.656423853277 |2017-Jun-12.1564239 |1138.487376825309 |.0301028 |2.9776E-8 |6.8527E-8 |4.7747E-6 |2.7144E-5 |2.7938E-5 |2.0956E-5
86039 (1999 NC43) |86039 ||Y|Y |2.22 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.5793533020087553 |1.759293585100322 |.7400410373696293 |7.123874135495496 |311.7608598917427 |120.6087134559537 |199.7198031960212 |.4223734345934106 |2458379.975089285076 |2018-Sep-18.4750893 |852.3263314288382 |.0242546 |4.8299E-8 |8.5112E-8 |7.5979E-6 |3.6543E-5 |3.6119E-5 |1.5194E-5
451124 (2009 KC3) |451124 ||Y|Y |2.188 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.6986751467985224 |3.207238116723858 |.9664205547039999 |10.00933589331358 |340.0913306970507 |337.2415246008574 |145.4120362873777 |.1715960422325547 |2457153.090966577721 |2015-May-10.5909666 |2097.950484849247 |.00715381 |3.7079E-8 |3.9987E-8 |5.2532E-6 |1.0952E-5 |1.2171E-5 |.0003643
143624 (2003 HM16) |143624 ||Y|Y |2.137 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.5763274552295026 |1.966903557176032 |.833323035386913 |35.60635410219328 |195.9764670214096 |46.99216874355228 |53.89690521566587 |.3572970868290972 |2457849.653807286859 |2017-Apr-06.1538073 |1007.564890032803 |.0495245 |5.8325E-8 |1.1557E-7 |1.4087E-5 |1.5609E-5 |1.7612E-5 |1.9021E-5
12923 Zephyr (1999 GK4) |12923 |Zephyr |Y|Y |2.060 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.4920198567819153 |1.961538343169702 |.99642252849111 |5.304474468095854 |168.2123176890907 |147.0648775240273 |199.2311684746355 |.3587640111762329 |2458448.618614234111 |2018-Nov-26.1186142 |1003.445130462542 |.0211488 |4.6992E-8 |9.1359E-8 |6.0301E-6 |4.7464E-5 |4.7787E-5 |2.6429E-5
29075 (1950 DA) |29075 ||Y|Y |2.000 ||2455529.5 |55529 |2010-Nov-29.0 |J2000 |.5075993418815973 |1.699294473727901 |.836733717200583 |12.18033947456725 |356.7748639362383 |224.544979582539 |125.4775277975825 |.444939647420255 |2455247.489780130638 |2010-Feb-19.9897801 |809.0984970372224 |.0402212 |3.0579E-8 |5.2164E-8 |5.0474E-6 |8.1663E-6 |9.4249E-6 |3.9523E-6
242643 (2005 NZ6) |242643 ||Y|Y |1.989 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.8643327592088514 |1.834236299108158 |.2488457776589716 |8.488163494513678 |39.43762398434593 |48.2865317247138 |286.00647915808 |.3967538486236146 |2458186.997298258384 |2018-Mar-09.4972983 |907.3635989893534 |.00818464 |1.8233E-8 |3.292E-8 |8.4924E-6 |1.368E-5 |1.4479E-5 |1.2943E-5
363505 (2003 UC20) |363505 ||Y|Y |1.900 ||2455026.5 |55026 |2009-Jul-14.0 |J2000 |.3367760294257492 |.7813002455679843 |.5181770510762358 |3.794750521346799 |188.8616900718955 |59.28970787934009 |230.4371854501246 |1.427174681803321 |2455117.282730524735 |2009-Oct-12.7827305 |252.2466272629769 |.0345132 |5.4903E-8 |4.3438E-8 |5.4563E-6 |8.3576E-5 |8.0707E-5 |1.7446E-5
161989 Cacus (1978 CA) |161989 |Cacus |Y|Y |1.9 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.2139746388471929 |1.123125411991926 |.8828050575808489 |26.06033065932085 |161.2418379523293 |102.1601955488226 |345.3962609448624 |.828059784531032 |2458018.136092620303 |2017-Sep-21.6360926 |434.7512181187309 |.0152327 |7.186E-8 |7.9738E-8 |1.0332E-5 |6.2981E-6 |1.5815E-5 |2.173E-5
4486 Mithra (1987 SB) |4486 |Mithra |Y|Y |1.849 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.6628520208770365 |2.199980925303253 |.7417191230750589 |3.039463039020657 |82.24044528453241 |168.8747061575359 |91.92846528337688 |.302047816727648 |2457696.149297255913 |2016-Nov-03.6492973 |1191.864268049342 |.0462647 |2.1416E-8 |4.7703E-8 |2.5505E-6 |7.5261E-5 |7.4139E-5 |2.0831E-5
7335 (1989 JA) |7335 ||Y|Y |1.8 ||2458000.5 |58000 |2017-Sep-04.0 |J2000 |.48402786427509 |1.770645943458159 |.9136039690587545 |15.19559789561827 |61.32482044675898 |232.2446725390532 |341.8746908367051 |.4183179309041999 |2458043.829027575071 |2017-Oct-17.3290276 |860.5894545850691 |.0225056 |4.7738E-8 |8.4014E-8 |9.727E-6 |1.898E-5 |2.34E-5 |3.8847E-5
