# JPL Small-Body Database Search Engine
# Results:  105 matching objects
#
# Constraints:   	comets and orbital class (IEO or IMB or ATE or MBA or PAA or APO or OMB or HYA or AMO or TJN or AST or MCA or CEN 
#		or HYP or ETc or PAR or CTc or JFC or JFc or HTC or COM) and diameter >= 0.2 (km) 
#
# Description
# -------------
# object fullname | prim. desig. | IAU name | prefix | NEO (Y/N) | PHA (Y/N) | H (absolute magnitude) | G (magnitude slope parameter (default is 0.15))|
# M1  (comet total magnitude parameter)| M2 (comet nuclear magnitude parameter)| K1 (comet total magnitude slope parameter)|
# K2 (comet nuclear magnitude slope parameter) | PC (comet nuclear magnitude law - phase coefficient) | diameter (km)|	
# extent (object bi/tri-axial ellipsoid dimensions in km)| albedo (geometric albedo)| rot_per (rotation period in hours) |
# GM (mass expressed as product mass and grav. const. G in km^3/s^2)| B-V (color index B-V in mag)| U-B (color index U-B i mag)|
# I-R (color index I-R in mag)| spec. type (spectral taxonomic type in SMASSII)| spec. type  (spectral taxonomic type in Tholen)|
# H-sigma (1-sigma uncertainty in abs. mag. param. H in mag) | diameter-sigma (1-sigma uncertainty in object diameter in km)| 	  
# orbit ID | epoch (epoch of osculation in JED)| epoch (epoch of osculation in MJD)| epoch (epoch of osculation in ET)|
# equinox (equinox of reference frame)| e (eccentricity)| a (semi-major axis in AU)| q (perihelion distance in AU)|
# i (inclinaison in deg)| node (longitude of the ascending node in deg)| peri (argument of perihelion in deg)|
# M (mean anomaly in deg)| Q (aphelion distance in AU)| n (Mean motion in deg/day)|tp (time of perihelion passage in JED)|
# tp (time of perihelion passage in ET)| period (orbital period in days)| period (orbital period in years)|
# Earth MOID (Earth Minimum Orbit Intersection Distance in AU)| Earth MOID (Earth Minimum Orbit Intersection Distance in light days)|
# Jupiter MOID (Jupiter Minimum Orbit Intersection Distance in Au)| T-Jupiter (Jupiter Tisserand Invariant)|
# e-sigma (eccentricity (1-sigma uncertainty))| a-sigma (semi-major axis (1-sigma uncertainty) in AU)|
# q-sigma (perihelion distance (1-sigma uncertainty) in AU)| i-sigma (inclination (1-sigma uncertainty) in deg)|
# node-sigma (long. of the asc. node (1-sigma uncertainty) in deg)| peri-sigma (argument of perihelion (1-sigma uncertainty) in deg)|
# M-sigma (mean anomaly (1-sigma uncertainty) in deg)|Q (1-sigma) (aphelion distance (1-sigma uncertainty) in AU)|
# n (1-sigma) (mean motion (1-sigma uncertainty in deg/day)| tp-sigma (time of peri. passage (1-sigma uncertainty) in days)|
# period-sigma (orbital period (1-sigma uncertainty) in days)| orbit class (orbit classification)|
# producer (name of person (or institution) who computed the orbit|
# data-arc span (number of days spanned by the data-arc in days)|
# date of first obs. (date of first observation used in the orbit fit in UT)|
# date of last obs. (date of last observation used in the orbit fit in UT)|
# obs. used (total) (number of observations (all types) used in fit)|
# obs. used (del.) (number of delay-radar observations used in fit)|
# obs. used (dop.) (number of Doppler-radar observations used in fit)|
# condition code (orbit condition code (MPC 'U' parameter)|
# norm. RMS of fit (normalized RMS of orbit fit in arcsec)| two-body model (2-body dynamics used flag T/F)|
# A1 (non-grav. radial parameter)| A2 (non-grav. transverse parameter)| A3 (non-grav. normal parameter)|
# DT (non-grav. peri.-maximum offset in days)
# 
10P/Tempel 2 |10P |Tempel |P |||||11.2 |14.9 |12. |5. |0.03 |10.6 ||0.022 |8.93 |||||||||JPL K153/4 |2455641.5 |55641 |2011-Mar-21.0 |J2000 |.5363186834492785 |3.067243313737507 |1.422223417895205 |12.02253609935566 |117.8086612908733 |195.6353592038994 |47.54647530237335 |4.712263209579809 |.1834770425950377 |2455382.358721996540 |2010-Jul-04.858722 |1962.098336163918 |5.37193247409697 |.412958 |160.71086486 |.62524 |2.964 |5.2796E-8 |7.6333E-8 |1.9264E-7 |3.5216E-6 |2.7176E-5 |2.9065E-5 |4.7524E-6 |1.1727E-7 |6.8491E-9 |2.3782E-5 |7.3245E-5 |JFc |Davide Farnocchia |5116 |2003-03-07 |2017-03-09 |3383 |||0 |.64057 ||2.052056560183213E-10 |9.262601943481266E-12 |1.640744739521599E-10 | 
99P/Kowal 1 |99P |Kowal |P |||||5.5 |11.5 |14. |5. |0.03 |10.2 ||||||||||||JPL K072/22 |2455380.5 |55380 |2010-Jul-03.0 |J2000 |.2287716907957943 |6.150503689944444 |4.743442561550082 |4.332540940374086 |28.20833810963109 |174.6153280631434 |80.84662334200382 |7.557564818338808 |.06461569930036085 |2454129.308351261590 |2007-Jan-28.8083513 |5571.401438009192 |15.2536658124824 |3.74115 |1455.9433455 ||2.957 |1.7652E-7 |3.2802E-7 |9.8682E-7 |1.8251E-5 |.0001727 |.00020773 |7.7105E-5 |4.0306E-7 |5.1691E-9 |.0011481 |.0004457 |JFc |Alan B. Chamberlin |7082 |1991-02-21 |2010-07-13 |534 |||0 |.77554 ||||| 
C/1983 H1 (IRAS-Araki-Alcock) |1983 H1 |IRAS-Araki-Alcock |C ||||||||||9.2 ||0.02 |||||||||1. |JPL 13 |2445467.5 |45467 |1983-May-13.0 |J2000 |.9898410042742818 |97.58255328872977 |.9913407417648754 |73.25079716352917 |49.10248462703545 |192.8510252976418 |359.9915597306886 |194.1737658356947 |.001022458777954254 |2445475.754874908800 |1983-May-21.2548749 |352092.434200909 |963.976548120216 |.00583546 |2.2709859682 ||0.408 |3.8106E-5 |.36603 |1.8071E-7 |.00048444 |2.393E-5 |.00020907 |4.7721E-5 |.72834 |5.7529E-6 |.00023347 |1981. |COM |Otto Matic |160 |1983-04-27 |1983-10-04 |316 |||4 |1.1411 ||||| 
117P/Helin-Roman-Alu 1 |117P |Helin-Roman-Alu |P |||||6.9 |11.4 |13. |5. |0.03 |9 ||||||||||||JPL K143/16 |2455168.5 |55168 |2009-Dec-03.0 |J2000 |.2551508622771987 |4.087096013748582 |3.044269941630929 |8.701693307954381 |58.93011667544209 |223.0226727343046 |172.1442504723264 |5.129922085866234 |.1192838954814829 |2453725.352542604552 |2005-Dec-20.8525426 |3018.010088846275 |8.2628612973204 |2.03728 |792.8482576 |.268699 |2.967 |4.1381E-8 |5.4135E-8 |1.836E-7 |4.2019E-6 |2.793E-5 |2.8472E-5 |1.0593E-5 |6.7947E-8 |2.3699E-9 |8.968E-5 |5.9962E-5 |JFc |Davide Farnocchia |8084 |1995-01-28 |2017-03-17 |4274 |||0 |.70952 ||2.310892380578461E-7 |5.568410124719839E-8 |8.773379779894446E-9 |-66.75654627988337
49P/Arend-Rigaux |49P |Arend-Rigaux |P |||||12.0 |15.3 |13. |5. |0.03 |8.48 ||0.028 ||||||||||JPL 69 |2456908.5 |56908 |2014-Sep-08.0 |J2000 |.6002741375112215 |3.566556837561493 |1.425645008009518 |19.0561588304762 |118.8320203776275 |332.9187091007017 |154.3344573629339 |5.707468667113468 |.1463289814895987 |2455853.791248583561 |2011-Oct-19.2912486 |2460.20983905768 |6.73568744437421 |.466022 |181.36178174 ||2.711 |4.643E-8 |2.8492E-8 |1.6829E-7 |5.294E-6 |1.8146E-5 |2.482E-5 |6.5348E-6 |4.5595E-8 |1.7535E-9 |3.4257E-5 |2.9481E-5 |JFc |Ryan S. Park |23210 |1951-01-08 |2014-07-26 |2957 |||0 |.65769 ||2.835416534470595E-10 |-5.221918309990964E-12 || 
32P/Comas Sola |32P |Comas Sola |P |||||11.0 |13.4 |9. |5. |0.03 |8.4 ||||||||||||JPL K142/1 |2455353.5 |55353 |2010-Jun-06.0 |J2000 |.5546485799036236 |4.510068014450066 |2.008565194966582 |9.968516517217138 |57.84360276824752 |53.30658848884395 |195.694158684553 |7.011570833933551 |.1029033318773632 |2456950.200887307141 |2014-Oct-19.7008873 |3498.428995759207 |9.57817657976511 |1.04298 |405.8965266 |.245801 |2.680 |1.3903E-7 |2.1979E-7 |7.0543E-7 |1.6487E-5 |3.6057E-5 |3.7658E-5 |1.0544E-5 |3.4169E-7 |7.5221E-9 |.00018988 |.00025573 |JFc |Davide Farnocchia |4341 |2004-07-20 |2016-06-08 |3117 |||0 |.64758 ||-8.192712790761601E-9 |7.535444540844812E-10 |-1.059058070811059E-9 |-187.2547654147808
151P/Helin |151P |Helin |P |||||10. |16.9 |15.0 |5.0 |0.03 |8.4 ||||||||||||JPL 33 |2455165.5 |55165 |2009-Nov-30.0 |J2000 |.5703733600209818 |5.809605650687495 |2.495961355307986 |4.735505041376388 |143.564015036869 |215.4915432331094 |209.5705580268369 |9.123249946067006 |.07038564470320716 |2457302.717647255686 |2015-Oct-07.2176473 |5114.679300274938 |14.003228748186 |1.49415 |581.4783555 |.234972 |2.626 |1.2038E-6 |1.3479E-6 |7.3524E-6 |4.7182E-5 |.00038758 |.0012176 |.00020918 |2.1167E-6 |2.4495E-8 |.0037065 |.00178 |JFc |Otto Matic |10382 |1987-08-24 |2016-01-26 |412 |||1 |.56738 ||4.707174748429356E-8 |-3.83674675929215E-10 || 
77P/Longmore |77P |Longmore |P |||||9.2 |13.3 |15. |5. |0.03 |8.2 ||||||||||||JPL 28 |2455334.5 |55334 |2010-May-18.0 |J2000 |.3579259946212981 |3.598825546270908 |2.310712333153357 |24.39903529059599 |14.91448816592601 |196.7262601972561 |45.34238222044086 |4.886938759388459 |.1443653213498415 |2455020.419154292170 |2009-Jul-07.9191543 |2493.673665073688 |6.82730640677259 |1.31554 |511.9687018 |.202441 |2.860 |1.7543E-7 |4.836E-8 |6.178E-7 |1.9238E-5 |1.5696E-5 |4.2781E-5 |2.0551E-5 |6.5669E-8 |2.9099E-9 |.00014615 |5.0264E-5 |JFc |Davide Farnocchia |15022 |1975-08-11 |2016-09-26 |1756 |||0 |.75972 ||1.925559127417241E-9 |-4.810222865403906E-10 |1.39249885042531E-9 | 
30P/Reinmuth 1 |30P |Reinmuth |P |||||12.6 ||9. |||7.8 ||||||||||||JPL K174/2 |2454366.5 |54366 |2007-Sep-23.0 |J2000 |.5005614111670508 |3.772100988918432 |1.883932794840794 |8.12289025624832 |119.7571931337096 |13.26584476917545 |233.5460060945499 |5.66026918299607 |.1345330867338036 |2455306.447168205995 |2010-Apr-19.9471682 |2675.921654219685 |7.3262742073092 |.900781 |350.55694177 |.158895 |2.839 |1.2854E-7 |8.4768E-8 |5.2496E-7 |5.7759E-6 |3.8006E-5 |5.3669E-5 |1.4719E-5 |1.272E-7 |4.5349E-9 |.0001202 |9.0202E-5 |JFc |Davide Farnocchia |8264 |1994-09-01 |2017-04-17 |2758 |||0 |.77581 ||2.35012123053285E-9 |-1.417818244231094E-10 || 
90P/Gehrels 1 |90P |Gehrels |P |||||9.5 ||10.0 |||7.8 ||||||||||||JPL K172/5 |2457800.5 |57800 |2017-Feb-16.0 |J2000 |.5097875105332932 |6.068601950953222 |2.974904469959293 |9.63544959109295 |13.25192632535181 |29.27116421197623 |351.8721468861405 |9.162299431947151 |.06592818128629269 |2457923.783442001295 |2017-Jun-19.283442 |5460.487351178434 |14.9499995925488 |1.98856 |773.8878952 |.494707 |2.689 |2.6351E-7 |2.9937E-7 |1.5595E-6 |2.2725E-5 |.00014888 |.00055326 |.00019304 |4.5199E-7 |4.8785E-9 |.0029334 |.00040406 |JFc |Davide Farnocchia |5640 |2001-08-10 |2017-01-18 |201 |||1 |.59645 ||||| 
53P/Van Biesbroeck |53P |Van Biesbroeck |P |||||7.5 ||12.0 |||6.66 ||||||||||||JPL K162/2 |2455676.5 |55676 |2011-Apr-25.0 |J2000 |.5512954597827399 |5.403575006400648 |2.424608638776481 |6.612133607324885 |148.8936037038092 |134.2813445380469 |216.2089685204093 |8.382541374024816 |.07846614157896013 |2457509.023284388776 |2016-Apr-30.5232844 |4587.966131069839 |12.561166683285 |1.41344 |550.0684448 |.0092375 |2.652 |6.2335E-8 |8.4716E-8 |3.5225E-7 |5.876E-6 |4.6821E-5 |5.1023E-5 |7.1817E-6 |1.3142E-7 |1.8453E-9 |8.287E-5 |.00010789 |JFc |Davide Farnocchia |5815 |2001-02-20 |2017-01-22 |2812 |||0 |.60713 ||-2.244236114339826E-8 |-1.467105003328427E-8 || 
96P/Machholz 1 |96P |Machholz |P |Y ||||13.3 |16.5 |11. |5. |0.03 |6.4 ||||||||||||JPL 55 |2454375.5 |54375 |2007-Oct-02.0 |J2000 |.9587121188574275 |3.017834756453266 |.1246000027323668 |59.97519575377271 |94.54815056716856 |14.62188457429963 |33.90853045981525 |5.911069510174166 |.1880013162473297 |2454195.136739057688 |2007-Apr-04.6367391 |1914.880210340619 |5.24265629114475 |.343319 |133.60945523 |.617095 |1.941 |5.2381E-8 |3.6285E-8 |1.5881E-7 |4.5029E-5 |1.2522E-5 |1.9866E-5 |2.0058E-6 |7.1071E-8 |3.3906E-9 |1.1773E-5 |3.4535E-5 |JFC |Davide Farnocchia |11309 |1986-05-13 |2017-04-29 |1122 |||0 |.69546 ||1.146228364990163E-10 |-9.495114605459153E-13 || 
31P/Schwassmann-Wachmann 2 |31P |Schwassmann-Wachmann |P |||||6.2 |13.9 |19. |5. |0.03 |6.2 ||||||||||||JPL K084/11 |2456364.5 |56364 |2013-Mar-13.0 |J2000 |.1939049560064233 |4.246480086303573 |3.423066551986726 |4.546633992033895 |114.1548122753023 |18.01931880463022 |100.7835205272671 |5.069893620620419 |.11263164735509 |2455469.693585515710 |2010-Sep-30.1935855 |3196.259740968185 |8.75088224768839 |2.43779 |948.7147343 ||2.992 |1.2854E-7 |5.7928E-8 |5.5102E-7 |1.3784E-5 |9.7233E-5 |.00010829 |1.8667E-5 |6.916E-8 |2.3047E-9 |.00017159 |6.5402E-5 |JFc |Ryan S. Park |9461 |1986-06-26 |2012-05-21 |935 |||0 |.99349 ||1.829839428080619E-8 |-2.863799405272808E-9 || 
