# JPL Small-Body Database Search Engine
# Results:  200 matching objects
#
# Constraints:  PHAs and orbital class (IEO or IMB or ATE or MBA or PAA or APO or OMB or HYA or 
#                     AMO or TJN or AST or MCA) and diameter >= 0.2 (km) 
#
# Description
# -------------
# object fullname| prim. desig.| IAU name| prefix| NEO (Y/N)| PHA (Y/N)| H (absolute magnitude)| G (magnitude slope parameter (default is 0.15))|
# M1  (comet total magnitude parameter)| M2 (comet nuclear magnitude parameter)| K1 (comet total magnitude slope parameter)|
# K2 (comet nuclear magnitude slope parameter)| PC (comet nuclear magnitude law - phase coefficient)| diameter (km)|	
# extent (object bi/tri-axial ellipsoid dimensions in km)| albedo (geometric albedo)| rot_per (rotation period in hours)|
# GM (mass expressed as product mass and grav. const. G in km^3/s^2)| B-V (color index B-V in mag)| U-B (color index U-B i mag)|
# I-R (color index I-R in mag)| spec. type (spectral taxonomic type in SMASSII)| spec. type  (spectral taxonomic type in Tholen)|
# H-sigma (1-sigma uncertainty in abs. mag. param. H in mag)| diameter-sigma (1-sigma uncertainty in object diameter in km)| 	  
# orbit ID| epoch (epoch of osculation in JED)| epoch (epoch of osculation in MJD)| epoch (epoch of osculation in ET)|
# equinox (equinox of reference frame)| e (eccentricity)| a (semi-major axis in AU)| q (perihelion distance in AU)|
# i (inclinaison in deg)| node (longitude of the ascending node in deg)| peri (argument of perihelion in deg)|
# M (mean anomaly in deg)| Q (aphelion distance in AU)| n (Mean motion in deg/day)|tp (time of perihelion passage in JED)|
# tp (time of perihelion passage in ET)| period (orbital period in days)| period (orbital period in years)|
# Earth MOID (Earth Minimum Orbit Intersection Distance in AU)| Earth MOID (Earth Minimum Orbit Intersection Distance in light days)|
# Jupiter MOID (Jupiter Minimum Orbit Intersection Distance in Au)| T-Jupiter (Jupiter Tisserand Invariant)|
# e-sigma (eccentricity (1-sigma uncertainty))| a-sigma (semi-major axis (1-sigma uncertainty) in AU)|
# q-sigma (perihelion distance (1-sigma uncertainty) in AU)| i-sigma (inclination (1-sigma uncertainty) in deg)|
# node-sigma (long. of the asc. node (1-sigma uncertainty) in deg)| peri-sigma (argument of perihelion (1-sigma uncertainty) in deg)|
# M-sigma (mean anomaly (1-sigma uncertainty) in deg)|Q (1-sigma) (aphelion distance (1-sigma uncertainty) in AU)|
# n (1-sigma) (mean motion (1-sigma uncertainty in deg/day)| tp-sigma (time of peri. passage (1-sigma uncertainty) in days)|
# period-sigma (orbital period (1-sigma uncertainty) in days)| orbit class (orbit classification)|
# producer (name of person (or institution) who computed the orbit|
# data-arc span (number of days spanned by the data-arc in days)|
# date of first obs. (date of first observation used in the orbit fit in UT)|
# date of last obs. (date of last observation used in the orbit fit in UT)|
# obs. used (total) (number of observations (all types) used in fit)|
# obs. used (del.) (number of delay-radar observations used in fit)|
# obs. used (dop.) (number of Doppler-radar observations used in fit)|
# condition code (orbit condition code (MPC 'U' parameter)|
# norm. RMS of fit (normalized RMS of orbit fit in arcsec)| two-body model (2-body dynamics used flag T/F)|
# A1 (non-grav. radial parameter)| A2 (non-grav. transverse parameter)| A3 (non-grav. normal parameter)|
# DT (non-grav. peri.-maximum offset in days)
# 	  
4183 Cuno (1959 LM)|4183|Cuno||Y|Y|14.4|||||||2.945||0.097|3.5595|||||Sq|||0.115|JPL 350|2458000.5|58000|2017-Sep-04.0|J2000|.6343498179170188|1.982213700330095|.7247968004530793|6.705067646835919|294.8955618648941|236.3402692831499|338.2800001004763|3.239630600207112|.3531655748123042|2458062.000897733498|2017-Nov-04.5008977|1019.351900850835|2.79083340410906|.0282524|10.994986508|1.79881|3.573|2.5321E-8|2.5064E-9|4.9668E-8|3.8597E-6|2.8786E-5|2.8913E-5|4.0598E-6|4.0963E-9|6.6983E-10|1.1571E-5|1.9333E-6|APO|Otto Matic|21036|1959-06-05|2017-01-07|1901|1|0|0|.45492||||| 
242450 (2004 QY2)|242450|QY2||Y|Y|14.7|||||||2.914||0.274|||||||||0.084|JPL 97|2458000.5|58000|2017-Sep-04.0|J2000|.4772747222723908|1.083977194368002|.5666222799764085|37.02588255069191|295.3100941214755|104.9634859565153|123.9788465882417|1.601332108759595|.8733209047699334|2457858.537468345153|2017-Apr-15.0374683|412.2196068292193|1.12859577502866|.0468566|18.235183022|4.04223|5.441|1.6155E-7|7.3275E-9|1.7449E-7|1.826E-5|2.902E-5|3.1176E-5|3.3288E-5|1.0825E-8|8.8553E-9|3.7208E-5|4.1798E-6|APO|Otto Matic|4242|2004-08-20|2016-04-01|406|||0|.37216||||| 
1620 Geographos (1951 RA)|1620|Geographos||Y|Y|15.60|||||||2.56|5.0x2.0x2.1|0.290|5.22204||.862|.471||S|S||0.15|JPL 451|2458000.5|58000|2017-Sep-04.0|J2000|.3354011714105012|1.2452602321176|.8275984915544442|13.33743942765777|337.2037428098071|276.8982440060318|246.0030792311241|1.662921972680755|.7092737637618327|2458161.223442192844|2018-Feb-11.7234422|507.5614218276436|1.3896274382687|.0300659|11.700746303|3.45553|5.075|1.5567E-8|6.8819E-10|1.973E-8|3.225E-6|3.2664E-6|5.0487E-6|5.9556E-6|9.1901E-10|5.8797E-10|8.5291E-6|4.2075E-7|APO|Otto Matic|23875|1951-08-31|2017-01-11|3673|3|4|0|.42071||||| 
90075 (2002 VU94)|90075|VU94||Y|Y|15.3|||||||2.233||0.294|7.88||||||||0.084|JPL 241|2458000.5|58000|2017-Sep-04.0|J2000|.5761281581818841|2.13379746693671|.9044566623772936|8.915526641183639|226.7782529236308|30.61714492329129|26.51209575877207|3.363138271496127|.3162090395362716|2457916.656426781307|2017-Jun-12.1564268|1138.487376983115|3.11700856121318|.0301028|11.715106676|1.73253|3.473|2.8398E-8|2.2349E-8|6.5643E-8|4.7255E-6|2.673E-5|2.7616E-5|5.8628E-6|3.5225E-8|4.9679E-9|1.8687E-5|1.7886E-5|APO|Otto Matic|22495|1955-10-25|2017-05-27|1244|||0|.45308||||| 
86039 (1999 NC43)|86039|NC43||Y|Y|16.0|||||||2.22||0.14|34.49|||||Q||||JPL 172|2458000.5|58000|2017-Sep-04.0|J2000|.5793533020087553|1.759293585100322|.7400410373696293|7.123874135495496|311.7608598917427|120.6087134559537|199.7198031960212|2.778546132831015|.4223734345934106|2458379.975089285076|2018-Sep-18.4750893|852.3263314288382|2.33354231739586|.0242546|9.439162682|2.57288|3.898|4.8299E-8|3.3399E-9|8.5112E-8|7.5979E-6|3.6543E-5|3.6119E-5|6.1004E-6|5.2749E-9|1.2028E-9|1.5194E-5|2.4271E-6|APO|Otto Matic|5492|1999-06-11|2014-06-24|898|||0|.4433||||| 
451124 (2009 KC3)|451124|KC3||Y|Y|18.0|||||||2.188||0.023|||||||||0.453|JPL 95|2458000.5|58000|2017-Sep-04.0|J2000|.6986751467985224|3.207238116723858|.9664205547039999|10.00933589331358|340.0913306970507|337.2415246008574|145.4120362873777|5.448055678743716|.1715960422325547|2457153.090966577721|2015-May-10.5909666|2097.950484849247|5.74387538630868|.00715381|2.7840482377|.151414|2.729|3.7079E-8|3.6844E-7|3.9987E-8|5.2532E-6|1.0952E-5|1.2171E-5|8.7567E-5|6.2586E-7|2.9569E-8|.0003643|.00036151|APO|Otto Matic|2394|2009-05-04|2015-11-23|439|4|1|1|.38615||||| 
143624 (2003 HM16)|143624|HM16||Y|Y|15.9|||||||2.137||0.169|32.1||||||||0.038|JPL 178|2458000.5|58000|2017-Sep-04.0|J2000|.576327449827027|1.966903557695465|.833323046233131|35.60635527018331|195.9764673644614|46.99216832687758|53.89690487981791|3.100484069157799|.3572970866875609|2457849.653808167073|2017-Apr-06.1538082|1007.56489043193|2.75856232835573|.0495245|19.273449665|2.30512|3.462|5.808E-8|5.8366E-9|1.1508E-7|1.404E-5|1.5607E-5|1.76E-5|6.9136E-6|9.2005E-9|1.5904E-9|1.8997E-5|4.4848E-6|APO|Otto Matic|5174|2003-04-27|2017-06-26|689|||0|.42158||||| 
12923 Zephyr (1999 GK4)|12923|Zephyr||Y|Y|15.8|||||||2.060||0.199|3.891|||||S:|||0.013|JPL 196|2458000.5|58000|2017-Sep-04.0|J2000|.4920198567819153|1.961538343169702|.99642252849111|5.304474468095854|168.2123176890907|147.0648775240273|199.2311684746355|2.926654157848295|.3587640111762329|2458448.618614234111|2018-Nov-26.1186142|1003.445130462542|2.74728304028074|.0211488|8.230478496|2.40254|3.717|4.6992E-8|6.0017E-9|9.1359E-8|6.0301E-6|4.7464E-5|4.7787E-5|8.9126E-6|8.9547E-9|1.6466E-9|2.6429E-5|4.6053E-6|APO|Otto Matic|22554|1955-04-21|2017-01-19|994|||0|.55296||||| 
29075 (1950 DA)|29075|DA||Y|Y|17.1|||||||2.000||0.070|2.1216||||||||0.200|JPL 142|2455529.5|55529|2010-Nov-29.0|J2000|.5075993418815973|1.699294473727901|.836733717200583|12.18033947456725|356.7748639362383|224.544979582539|125.4775277975825|2.561855230255218|.444939647420255|2455247.489780130638|2010-Feb-19.9897801|809.0984970372224|2.21519095698076|.0402212|15.652884404|2.47464|4.025|3.0579E-8|6.8085E-10|5.2164E-8|5.0474E-6|8.1663E-6|9.4249E-6|1.8007E-6|1.0264E-9|2.6741E-10|3.9523E-6|4.8627E-7|APO|Otto Matic|24122|1950-02-23|2016-03-10|543|8|4|0|.47327|||-5.358719710516308E-15|| 
242643 (2005 NZ6)|242643|NZ6||Y|Y|17.4|||||||1.989||0.041|||||||||0.479|JPL 73|2458000.5|58000|2017-Sep-04.0|J2000|.8643327592088514|1.834236299108158|.2488457776589716|8.488163494513678|39.43762398434593|48.2865317247138|286.00647915808|3.419626820557344|.3967538486236146|2458186.997298258384|2018-Mar-09.4972983|907.3635989893534|2.48422614370802|.00818464|3.1852163488|1.90658|3.427|1.8233E-8|8.0155E-9|3.292E-8|8.4924E-6|1.368E-5|1.4479E-5|4.6535E-6|1.4943E-8|2.6007E-9|1.2943E-5|5.9477E-6|APO|Otto Matic|3675|2005-07-03|2015-07-26|499|6|3|0|.31922||||| 
